,title
420,"""8시간 자라는 말에 속고 살았어요"" 200년 만에 밝혀진 진짜 수면 시간"
144,"""가장 포근했던 여름밤처럼"" 마음이 쉬는 수면음악"
435,"""가짜수면을 하고 있어요"" 수면 전문 의사가 말하는 숙면의 기술 | 삼성서울병원 신경과 주은연 교수 X 줄리안 X 이주호 기자 [백년의 아침 3화 FULL]"
609,"""남친은 싼 거 주고 나만 바른 올리브영 수면팩 대참사 ㅋㅋ"
317,"""눈 내리는 마을"" 동화 같은 수면음악ㅣ지친 마음에 위로와 평안을.."
421,"""딱 3박자가 맞아야 잘 잘 수 있다"" 수면장애가 가져온 무서운 질병, 신경과 주은연 교수의 잠 잘자는 법｜수면장애｜명의｜#EBS건강"
525,"""밤 새는 것보다 위험해요"" 6시간 수면은 우리 몸을 '이렇게' 망가뜨립니다 (전주훈 대표)"
379,"""수고했어.. 오늘은 푹자!"" 당신을 위로하는 수면음악"
129,"""수면을 이어주는 파워가 떨어져요"""
482,"""수면의 질 나쁘면 음모론에 빠질 위험 커진다""｜지금 이 뉴스"
86,"""수면제 먹지 말고 이걸 하세요."" 과학으로 입증된 최적의 수면법 (주은연 교수 통합본)"
461,"""시간이 멈췄으면 좋겠어"" 꿈속의 우리 - 행복한 수면음악"
440,"""아름다웠던, 우리에게.."" 로맨틱한 수면음악 - 비가 오면 니가 그리워."
345,"""오늘 밤 잘 자요!"" 마법같은 수면음과 함께 1초만에 잠들어보세요! 🎵"
412,"""오늘 하루는 어땠나요"" 당신을 위로하는 수면음악 - 수고했어요,오늘도!"
431,"""원초적 본능을 따르세요"" 최근 전 세계 불면증 환자들 사이에 난리난 수면 치료법! / 뜬 눈으로 밤 새거나 중간에 깬다면 '이렇게' 하세요! / 원시인 수면법 / 건강 베스트셀러"
7,"""이때 불을 끄세요."" 수면의 질이 확 좋아지는 습관ㅣ지식인초대석 EP.33 (주은연 교수 2부)"
546,"""자기 전 핸드폰 봐도 잘 자는데요?"" 수면 측정기로 밝혀진 충격적 결과"
